estado,anio,mes_num,surtidas,total
CAMPECHE,2022,5,52792,56410
CAMPECHE,2022,6,33067,35294
CAMPECHE,2022,7,53562,57541
CAMPECHE,2022,8,55123,59463
CAMPECHE,2022,9,48217,51016
CAMPECHE,2022,10,53753,56860
CAMPECHE,2022,11,55890,58624
CAMPECHE,2022,12,54709,57807
CAMPECHE,2023,1,60629,62928
CAMPECHE,2023,2,51749,54191
CAMPECHE,2023,3,60419,65911
CAMPECHE,2023,4,50723,53866
CAMPECHE,2023,5,61264,64105
CAMPECHE,2023,6,44456,47649
CAMPECHE,2023,7,58706,60138
CAMPECHE,2023,8,62134,63179
CAMPECHE,2023,9,60277,61225
CAMPECHE,2023,10,62817,63609
CAMPECHE,2023,11,57447,58731
CAMPECHE,2023,12,56544,58026
CAMPECHE,2024,1,68927,70271
CAMPECHE,2024,2,61701,63173
CAMPECHE,2024,3,56705,59067
CAMPECHE,2024,4,67660,68788
CAMPECHE,2024,5,67601,68512
CAMPECHE,2024,6,63729,64297
CAMPECHE,2024,7,68718,69402
CAMPECHE,2024,8,65997,66404
CAMPECHE,2024,9,66889,67497
CAMPECHE,2024,10,72991,73643
CAMPECHE,2024,11,67486,68198
CAMPECHE,2024,12,65418,66802
CDMX,2018,1,1081257,1083878
CDMX,2018,2,953128,955241
CDMX,2018,3,967305,970174
CDMX,2018,4,992622,996905
CDMX,2018,5,1008644,1012503
CDMX,2018,6,877938,881312
CDMX,2018,7,1006825,1011265
CDMX,2018,8,1038666,1042708
CDMX,2018,9,956988,961436
CDMX,2018,10,1062918,1066904
CDMX,2018,11,994938,1000303
CDMX,2018,12,904258,906723
CDMX,2019,1,1088408,1094303
CDMX,2019,2,963669,969887
CDMX,2019,3,624499,628319
CDMX,2019,4,944488,952871
CDMX,2019,5,1002182,1009954
CDMX,2019,6,948152,955040
CDMX,2019,7,1012898,1019740
CDMX,2019,8,996787,1012052
CDMX,2019,9,969613,976334
CDMX,2019,10,1066662,1074203
CDMX,2019,11,971039,978470
CDMX,2019,12,956098,962979
CDMX,2020,1,994962,1003621
CDMX,2020,2,908702,918560
CDMX,2020,3,887838,896914
CDMX,2020,4,532734,538716
CDMX,2020,5,453066,459479
CDMX,2020,6,495677,502840
CDMX,2020,7,584359,591118
CDMX,2020,8,600972,607041
CDMX,2020,9,645743,652583
CDMX,2020,10,730528,737646
CDMX,2020,11,552238,559814
CDMX,2020,12,632873,640798
CDMX,2021,1,596351,602994
CDMX,2021,2,574372,581569
CDMX,2021,3,570982,578247
CDMX,2021,4,192853,197566
CDMX,2021,5,672820,682842
CDMX,2021,6,718894,729680
CDMX,2021,7,798096,808770
CDMX,2021,8,778268,788734
CDMX,2021,9,825761,835218
CDMX,2021,10,820638,832635
CDMX,2021,11,469835,476921
CDMX,2021,12,819268,830642
CDMX,2022,1,839283,850028
CDMX,2022,2,800396,812378
CDMX,2022,3,925241,940533
CDMX,2022,4,829817,845139
CDMX,2022,5,928852,941898
CDMX,2022,6,562499,570710
CDMX,2022,7,915059,928859
CDMX,2022,8,964669,978582
CDMX,2022,9,883604,898555
CDMX,2022,10,961326,979312
CDMX,2022,11,975712,989176
CDMX,2022,12,958122,969397
CDMX,2023,1,1039099,1048704
CDMX,2023,2,954889,967300
CDMX,2023,3,1073268,1098543
CDMX,2023,4,937045,951142
CDMX,2023,5,1075765,1089826
CDMX,2023,6,800877,809643
CDMX,2023,7,1043029,1054371
CDMX,2023,8,1121784,1132242
CDMX,2023,9,1081418,1091922
CDMX,2023,10,1159028,1170403
CDMX,2023,11,1058718,1070420
CDMX,2023,12,1000405,1009879
CDMX,2024,1,1175396,1186600
CDMX,2024,2,1098558,1110264
CDMX,2024,3,1037935,1050797
CDMX,2024,4,1169264,1181532
CDMX,2024,5,1169190,1181835
CDMX,2024,6,1054649,1067703
CDMX,2024,7,1214461,1229810
CDMX,2024,8,1173042,1189546
CDMX,2024,9,1147865,1166104
CDMX,2024,10,1279045,1301357
CDMX,2024,11,1148978,1171205
CDMX,2024,12,1140824,1164227
CHIAPAS,2018,1,146257,147893
CHIAPAS,2018,2,129857,131917
CHIAPAS,2018,3,134216,135860
CHIAPAS,2018,4,139504,141393
CHIAPAS,2018,5,140777,143105
CHIAPAS,2018,6,118474,120760
CHIAPAS,2018,7,131424,134939
CHIAPAS,2018,8,141220,144732
CHIAPAS,2018,9,134670,136605
CHIAPAS,2018,10,146319,148970
CHIAPAS,2018,11,149689,152789
CHIAPAS,2018,12,113194,114724
CHIAPAS,2019,1,156041,158781
CHIAPAS,2019,2,140393,143935
CHIAPAS,2019,3,92397,94625
CHIAPAS,2019,4,130969,134423
CHIAPAS,2019,5,142255,146704
CHIAPAS,2019,6,141298,145028
CHIAPAS,2019,7,140676,143832
CHIAPAS,2019,8,118032,121190
CHIAPAS,2019,9,144444,147051
CHIAPAS,2019,10,157213,160654
CHIAPAS,2019,11,145785,149309
CHIAPAS,2019,12,133149,135356
CHIAPAS,2020,1,136484,140062
CHIAPAS,2020,2,134610,137902
CHIAPAS,2020,3,132481,135249
CHIAPAS,2020,4,76635,78384
CHIAPAS,2020,5,66357,68097
CHIAPAS,2020,6,72884,74772
CHIAPAS,2020,7,79517,81466
CHIAPAS,2020,8,78813,80477
CHIAPAS,2020,9,94235,95813
CHIAPAS,2020,10,104236,106102
CHIAPAS,2020,11,89640,91092
CHIAPAS,2020,12,101323,102779
CHIAPAS,2021,1,97210,98988
CHIAPAS,2021,2,84024,85704
CHIAPAS,2021,3,93042,94848
CHIAPAS,2021,4,25233,26345
CHIAPAS,2021,5,106510,108905
CHIAPAS,2021,6,110087,112402
CHIAPAS,2021,7,121496,124037
CHIAPAS,2021,8,116448,118942
CHIAPAS,2021,9,118875,121276
CHIAPAS,2021,10,120500,122248
CHIAPAS,2021,11,65521,66589
CHIAPAS,2021,12,109858,111925
CHIAPAS,2022,1,131225,133000
CHIAPAS,2022,2,119746,121671
CHIAPAS,2022,3,135018,137314
CHIAPAS,2022,4,114440,116532
CHIAPAS,2022,5,132471,134775
CHIAPAS,2022,6,82467,84178
CHIAPAS,2022,7,128354,130706
CHIAPAS,2022,8,139090,141436
CHIAPAS,2022,9,125345,128045
CHIAPAS,2022,10,136878,139757
CHIAPAS,2022,11,139156,141908
CHIAPAS,2022,12,122841,124799
CHIAPAS,2023,1,147624,149280
CHIAPAS,2023,2,139355,141621
CHIAPAS,2023,3,154952,158812
CHIAPAS,2023,4,135563,137300
CHIAPAS,2023,5,157924,159950
CHIAPAS,2023,6,116499,118048
CHIAPAS,2023,7,151525,153131
CHIAPAS,2023,8,170856,172548
CHIAPAS,2023,9,156367,158059
CHIAPAS,2023,10,167337,169821
CHIAPAS,2023,11,165305,167671
CHIAPAS,2023,12,138766,140804
CHIAPAS,2024,1,171740,173395
CHIAPAS,2024,2,162025,164976
CHIAPAS,2024,3,148325,152743
CHIAPAS,2024,4,175316,177579
CHIAPAS,2024,5,178445,180274
CHIAPAS,2024,6,159318,161073
CHIAPAS,2024,7,179514,181722
CHIAPAS,2024,8,180524,182461
CHIAPAS,2024,9,171180,173065
CHIAPAS,2024,10,195169,197401
CHIAPAS,2024,11,175392,177487
CHIAPAS,2024,12,164570,167438
CHIHUAHUA,2018,1,194665,197381
CHIHUAHUA,2018,2,172886,175975
CHIHUAHUA,2018,3,171678,174045
CHIHUAHUA,2018,4,180355,182512
CHIHUAHUA,2018,5,180436,184078
CHIHUAHUA,2018,6,152262,155605
CHIHUAHUA,2018,7,178892,182066
CHIHUAHUA,2018,8,188124,191765
CHIHUAHUA,2018,9,173020,176224
CHIHUAHUA,2018,10,191984,194994
CHIHUAHUA,2018,11,181850,184480
CHIHUAHUA,2018,12,168539,170605
CHIHUAHUA,2019,1,200841,203780
CHIHUAHUA,2019,2,175136,178501
CHIHUAHUA,2019,3,115206,117313
CHIHUAHUA,2019,4,170084,174273
CHIHUAHUA,2019,5,179976,184054
CHIHUAHUA,2019,6,171254,174853
CHIHUAHUA,2019,7,184539,188258
CHIHUAHUA,2019,8,173646,177674
CHIHUAHUA,2019,9,175504,178642
CHIHUAHUA,2019,10,197611,201624
CHIHUAHUA,2019,11,181189,184762
CHIHUAHUA,2019,12,175617,177947
CHIHUAHUA,2020,1,189220,193693
CHIHUAHUA,2020,2,175711,181542
CHIHUAHUA,2020,3,175027,182689
CHIHUAHUA,2020,4,123128,129084
CHIHUAHUA,2020,5,114753,122153
CHIHUAHUA,2020,6,121712,131068
CHIHUAHUA,2020,7,134153,141369
CHIHUAHUA,2020,8,139123,144595
CHIHUAHUA,2020,9,152680,157667
CHIHUAHUA,2020,10,162768,167052
CHIHUAHUA,2020,11,121067,124538
CHIHUAHUA,2020,12,142162,144869
CHIHUAHUA,2021,1,146512,149511
CHIHUAHUA,2021,2,134138,137119
CHIHUAHUA,2021,3,137692,140718
CHIHUAHUA,2021,4,32399,34052
CHIHUAHUA,2021,5,169289,172237
CHIHUAHUA,2021,6,162916,166222
CHIHUAHUA,2021,7,174025,177491
CHIHUAHUA,2021,8,165009,167874
CHIHUAHUA,2021,9,173135,176495
CHIHUAHUA,2021,10,170705,173520
CHIHUAHUA,2021,11,96417,98513
CHIHUAHUA,2021,12,159406,162749
CHIHUAHUA,2022,1,177657,179805
CHIHUAHUA,2022,2,161069,163937
CHIHUAHUA,2022,3,190172,193649
CHIHUAHUA,2022,4,167659,170747
CHIHUAHUA,2022,5,187294,190162
CHIHUAHUA,2022,6,114329,115945
CHIHUAHUA,2022,7,177516,180295
CHIHUAHUA,2022,8,188550,191293
CHIHUAHUA,2022,9,171748,175635
CHIHUAHUA,2022,10,184136,188536
CHIHUAHUA,2022,11,186331,190363
CHIHUAHUA,2022,12,180958,184165
CHIHUAHUA,2023,1,205534,207984
CHIHUAHUA,2023,2,184963,188205
CHIHUAHUA,2023,3,204842,213027
CHIHUAHUA,2023,4,183471,186976
CHIHUAHUA,2023,5,216701,219698
CHIHUAHUA,2023,6,156655,158680
CHIHUAHUA,2023,7,201877,203628
CHIHUAHUA,2023,8,220893,222472
CHIHUAHUA,2023,9,212859,214850
CHIHUAHUA,2023,10,226938,229290
CHIHUAHUA,2023,11,207242,209688
CHIHUAHUA,2023,12,192421,195217
CHIHUAHUA,2024,1,229645,231299
CHIHUAHUA,2024,2,214460,219336
CHIHUAHUA,2024,3,201088,205697
CHIHUAHUA,2024,4,234231,236507
CHIHUAHUA,2024,5,236067,238504
CHIHUAHUA,2024,6,211761,214119
CHIHUAHUA,2024,7,239113,241390
CHIHUAHUA,2024,8,231939,234761
CHIHUAHUA,2024,9,227062,230049
CHIHUAHUA,2024,10,250120,254501
CHIHUAHUA,2024,11,218825,224262
CHIHUAHUA,2024,12,211122,218889
COAHUILA,2018,1,137687,139695
COAHUILA,2018,2,126396,129132
COAHUILA,2018,3,130182,132582
COAHUILA,2018,4,131930,134097
COAHUILA,2018,5,134182,138105
COAHUILA,2018,6,97657,100241
COAHUILA,2018,7,137076,139474
COAHUILA,2018,8,127531,130573
COAHUILA,2018,9,122546,124600
COAHUILA,2018,10,141685,144384
COAHUILA,2018,11,139555,142359
COAHUILA,2018,12,116086,117575
COAHUILA,2019,1,129403,132234
COAHUILA,2019,2,137547,141751
COAHUILA,2019,3,94127,96402
COAHUILA,2019,4,129956,133750
COAHUILA,2019,5,135753,140218
COAHUILA,2019,6,123971,127309
COAHUILA,2019,7,130508,133325
COAHUILA,2019,8,121107,125807
COAHUILA,2019,9,127417,129971
COAHUILA,2019,10,140628,143594
COAHUILA,2019,11,126497,129530
COAHUILA,2019,12,141620,143747
COAHUILA,2020,1,142077,147054
COAHUILA,2020,2,135030,140448
COAHUILA,2020,3,123901,129160
COAHUILA,2020,4,68800,72123
COAHUILA,2020,5,67651,71076
COAHUILA,2020,6,77376,81612
COAHUILA,2020,7,81157,84593
COAHUILA,2020,8,86722,89204
COAHUILA,2020,9,99294,101469
COAHUILA,2020,10,106798,109447
COAHUILA,2020,11,78727,80915
COAHUILA,2020,12,85797,87405
COAHUILA,2021,1,86966,88839
COAHUILA,2021,2,81590,83507
COAHUILA,2021,3,96418,98586
COAHUILA,2021,4,23779,25059
COAHUILA,2021,5,99395,102913
COAHUILA,2021,6,108385,112192
COAHUILA,2021,7,112387,115869
COAHUILA,2021,8,110152,113229
COAHUILA,2021,9,114937,118405
COAHUILA,2021,10,118017,121293
COAHUILA,2021,11,65144,67340
COAHUILA,2021,12,116994,119865
COAHUILA,2022,1,122954,125087
COAHUILA,2022,2,111198,113615
COAHUILA,2022,3,129809,133107
COAHUILA,2022,4,114432,117822
COAHUILA,2022,5,125113,128050
COAHUILA,2022,6,78762,80760
COAHUILA,2022,7,122527,125406
COAHUILA,2022,8,133419,135837
COAHUILA,2022,9,125961,128983
COAHUILA,2022,10,132070,136276
COAHUILA,2022,11,141395,144937
COAHUILA,2022,12,125329,127684
COAHUILA,2023,1,150099,151877
COAHUILA,2023,2,132663,134281
COAHUILA,2023,3,148871,153491
COAHUILA,2023,4,125736,129172
COAHUILA,2023,5,145199,147859
COAHUILA,2023,6,105686,107183
COAHUILA,2023,7,131451,133044
COAHUILA,2023,8,153108,154907
COAHUILA,2023,9,141804,143741
COAHUILA,2023,10,148529,150513
COAHUILA,2023,11,153703,155547
COAHUILA,2023,12,130359,132168
COAHUILA,2024,1,165597,167180
COAHUILA,2024,2,152481,154790
COAHUILA,2024,3,143065,146361
COAHUILA,2024,4,170974,172750
COAHUILA,2024,5,170931,172551
COAHUILA,2024,6,149587,151141
COAHUILA,2024,7,172682,174301
